code,product_name,brands,countries,country_code,categories,created_t,last_modified_t,nutrition_grades,nova_group,nutriments.fat_100g,nutriments.sugars_100g,nutriments.salt_100g,nutriments.proteins_100g,nutriments.carbohydrates_100g,ingredients_text,additives_tags,additives_n,additives_list,nutrition_grade,nutrition_score,continent,created_year,ingredients_count
5010003064744,Seed Sensations,Hovis,"France, United Kingdom, en:ireland",fr,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Multigrain sliced breads",1514552900,1739438464,a,4.0,6.6,3.8,0.3828,10.0,42.0,"Wheat Flour (Calcium, Iron, Niacin, Thiamin), Water, Seed Mix 13% (Toasted Brown Linseed, Toasted Sunflower Seeds, Pumpkin Seeds, Sunflower Seeds, Millet Seeds, Golden Linseed, Poppy Seeds), Yeast, Wheat  Protein, Salt, Soya Flour, Malted Barley Flour, Granulated Sugar, Barley Flour, Preservative (E282), Caramelised Sugar, Barley Fibre, Emulsifier (E472e), Flour Treatment Agent (Ascorbic Acid).","['en:e282', 'en:e300', 'en:e472e']",3.0,"['en:e282', 'en:e300', 'en:e472e']",A,5.0,Europe,2017,24.0
3019081238643,Sardines Huile d'Olive Vierge Extra,Parmentier,"France,Allemagne,Royaume-Uni",fr,"Produits de la mer,Poissons et dérivés,Conserves,Poissons,Poissons gras,Poissons en conserve,Sardines,Sardines en conserve,Sardines à l'huile,Sardines à l'huile d'olive",1499162589,1745866254,c,3.0,15.0,0.0,1.2,23.0,0.0,"_Sardines_, huile d'olive vierge extra, sel",[],0.0,[],C,3.0,Europe,2017,3.0
5449000000439,,Coca-Cola,"Albanija,Alžir,Austrija,Belgija,Hrvatska,Češka,Demokratska Republika Kongo,Francuska,Gruzija,Njemačka,Grčka,Italija,Madagaskar,Maroko,Poljska,Réunion,Slovenija,Južnoafrička Republika,Švedska,Švicarska,Tunis,Ukrajina,Ujedinjeno Kraljevstvo",fr,"Pića i pripravci za piće,Pića,Gazirana pića,Zaslađena gazirana pića,Kola kola,Kola sa šećerom,Zaslađena pića",1387551754,1746520048,e,4.0,0.0,10.6,0.025,0.0,10.6,"Wasser, Zucker, Kohlensäure, Farbstoff: E 150d, Säuerungsmittel: E 338, natürliche Aromen, Aroma Koffein.","['en:e150d', 'en:e290', 'en:e338']",3.0,"['en:e150d', 'en:e290', 'en:e338']",E,1.0,Europe,2013,7.0
6111024001516,"Huile de table équilibrée riche en vitamines A,E,D3",Lesieur,"France,Maroc",fr,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Huiles,Huile de table,Mélanges d'huiles",1537111618,1736941796,c,4.0,100.0,0.0,0.0,0.0,0.0,"Huiles végétales (Soja. Tournesol. Colza) en proportions variables, arôme naturel. Vitamine A, Vitamine D3. Provitamine A. CONSEILS D'UTILISATION نصـائح الاستعمال - درجة الحرارة القصوى للاستعمال 180درجة تجنبوا إضافة الزيت على الزيت المستعملة. .لا تتركوا الزيت حتى تندخر .أغلقوا القنينة بعد كل استعمال - Température maximale d'utilisation 180°C. Eviter les ajouts d'huile dans un bain usé. Ne pas laisser fumer l'huile. Reboucher la bouteille après chaque usage مصلحة المستهلكين Service consommateurs: ۱۷-",[],0.0,[],C,3.0,Europe,2018,3.0
7613035040823,Nestlé Dessert,Nestlé,"Belgium,France,Germany,Réunion,Switzerland",fr,"Snacks, Desserts, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar, Dark chocolate bar for cooking with more than 40% cocoa",1433065227,1746108795,e,4.0,34.1,46.4,0.01,6.0,50.7,"Sucre, pâte de cacao (Afrique de l'Ouest, Amérique du Sud), beurre de cacao, émulsifiant (lécithine), arôme naturel de vanille de Madagascar. Cacao : 53% minimum. Peut contenir : LAIT, FRUITS A COQUE.","['en:e322', 'en:e322i']",1.0,"['en:e322', 'en:e322i']",E,1.0,Europe,2015,7.0
3257971309114,Eau minérale naturelle,Mont Roucous,France,fr,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles",1418688478,1737366417,a,1.0,0.0,0.0,0.00075,0.0,0.0,Eau Minérale,[],0.0,[],A,5.0,Europe,2014,
3256540000698,Pains au lait x10,Pasquier,"Belgique,France,Suisse,Royaume-Uni,États-Unis",fr,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Pains au lait",1424944949,1744893560,c,4.0,11.0,11.0,0.00275,8.6,55.0,"Farine de _blé_ 43%, Levain 21% (Farine de _blé_ 11%, Eau, Sel), Sucre, _Œufs_ frais 11%, _Beurre_ pâtissier, Huile de colza, Levure, _Lait_ écrémé en poudre (Équivalent à 10% de lait écrémé reconstitué), Émulsifiant: mono et diglycérides d'acides gras, Sel, Protéines de _blé_, _Gluten_ de blé, Extrait de carotte, Agent de traitement de la farine : acide ascorbique, Protéines de _lait_","['en:e300', 'en:e471']",2.0,"['en:e300', 'en:e471']",C,3.0,Europe,2015,17.0
3045140105502,Chocolat au lait,Milka,"Algeria,Austria,Bulgaria,France,Germany,Hungary,Italy,Morocco,Poland,Tunisia,United Kingdom",fr,"snacks, snacks-sucrés, cacao-et-dérivés, chocolats, chocolats-au-lait, tablette-de-chocolat-au-lait, en:cacao-et-dérivés, es:chocolates-con-leche, fr:chocolats, fr:chocolats-au-lait, en:snacks-sucrés",1349035684,1745324158,e,4.0,31.0,55.0,0.275,6.5,57.0,"Sucre, Beurre de cacao, pâte de cacao, Lait écrémé en poudre, lactosérum en poudre (Lait), Beurre concentré, Émulsifiant (Lécithine de soja), Pâte de noisette, Arôme naturel","['en:e322', 'en:e322i']",1.0,"['en:e322', 'en:e322i']",E,1.0,Europe,2012,9.0
5020364010113,Bakery Co. 5 The Original Bagels,New York Bakery Co,"France,United Kingdom",fr,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Bagel breads",1463427836,1741959908,c,3.0,2.62,5.5,1.52,9.75,52.5,"WHEAT Flour (with added Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Yeast, Vinegar, Salt, Rapeseed Oil, Preservative (Calcium Propionate), Maize, Sweet potato puree, Malted BARLEY Flour, Flour Treatment Agent (Ascorbic Acid)","['en:e282', 'en:e300']",2.0,"['en:e282', 'en:e300']",C,3.0,Europe,2016,15.0
42105220,Coca Cola,Coca-Cola,"France, Germany, Italy, Morocco, Switzerland, en:north-macedonia",fr,"Bevande e preparati per bevande, Bevande, Bevande effervescente, Bibite gassate, Cola, Cola con zucchero, Bevande zuccherate",1533917953,1743668529,e,4.0,0.0,10.6,0.0,0.0,10.6,"Acqua, zucchero, anidride carbonica, colorante E 150d, acidificante acido fosforico, aromi naturali, aroma caffeina","['en:e150d', 'en:e290', 'en:e338']",3.0,"['en:e150d', 'en:e290', 'en:e338']",E,1.0,Europe,2018,7.0
